#
# The nn29 variant, with exhaustive nn search for small nn's.
#
# deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 1	1	1	1	302	1	1	1	-5225.33	3.40282e+38	-6718	3.40282e+38	1
 1	2	2	161	112930	160	161	1	-4135.67	1089.67	-5317	1401	1
 1	3	3	323	103781	162	323	1	-2381	1754.67	-3061	2256	1
 1	4	4	486	108279	163	486	1	-570.333	1810.67	-733	2328	1
 1	5	5	650	106620	164	650	1	-471.556	98.7778	-606	127	1
 1	6	6	816	166414	166	816	1	-422	49.5555	-542	64	2
 1	7	7	984	210718	168	984	1	-400.667	21.3333	-514	28	4
 1	8	8	1154	332634	170	1154	1	-383	17.6667	-491	23	5
 1	9	9	1326	385446	172	1326	1	-366.889	16.1111	-470	21	6
 1	10	10	1500	463347	174	1500	1	-356.222	10.6667	-456	14	7
 1	11	11	1676	552151	176	1676	1	-346.333	9.88889	-443	13	8
 1	12	12	1854	601627	178	1854	1	-334.111	12.2222	-427	16	9
 1	13	13	2034	653590	180	2034	1	-323.444	10.6667	-413	14	10
 1	14	14	2216	711964	182	2216	1	-313.556	9.88892	-400	13	11
 1	15	15	2400	1720464	184	2400	1	-304.444	9.11108	-388	12	12
 1	16	16	2585	777806	185	2585	1	-295.333	9.11111	-376	12	13
 1	17	17	2772	839049	187	2772	1	-289.111	6.22223	-368	8	13
 1	18	18	2960	850029	188	2960	1	-283.111	6	-360	8	14
 1	19	19	3149	874534	189	3149	1	-277.889	5.22223	-353	7	15
 1	20	20	3340	942211	191	3340	1	-272.667	5.22223	-346	7	16
 1	21	21	3533	1029552	193	3533	1	-268.778	3.88889	-339	7	23
 1	22	22	3728	841844	195	3728	1	-263.167	5.61111	-331.5	7.5	24
 1	23	23	3925	884676	197	3925	1	-256.944	6.2222	-323.5	8	24
 1	24	24	4123	885571	198	4123	1	-250.167	6.77779	-314.5	9	25
 1	25	25	4323	960178	200	4323	1	-244.167	6	-306.5	8	26
 1	26	26	4524	982443	201	4524	1	-242.056	2.11111	-303.5	3	27
 1	27	27	4727	1019089	203	4727	1	-239.944	2.11111	-300.5	3	28
 1	28	28	4932	1096227	205	4932	1	-237.833	2.11111	-297.5	3	29
 1	29	29	5139	1223722	207	5139	1	-236.403	1.43056	-295.375	2.125	30
 1	30	30	5347	1156135	208	5347	1	-235.292	1.1111	-293.375	2	32
 1	31	31	5557	1324556	210	5557	1	-232.403	2.8889	-289.375	4	33
 1	32	32	5769	1350457	212	5769	1	-230.514	1.88889	-286.375	3	35
 1	33	33	5983	1398447	214	5983	1	-226.847	3.66666	-281.375	5	36
 1	34	34	6199	1422276	216	6199	1	-224.736	2.11111	-278.375	3	37
 1	35	35	6417	1485410	218	6417	1	-223.743	0.993057	-276.812	1.5625	38
 1	36	36	6637	1551839	220	6637	1	-222.799	0.944443	-275.312	1.5	39
 1	37	37	6859	1621501	222	6859	1	-220.688	2.11111	-272.312	3	40
 1	38	38	7083	1685387	224	7083	1	-219.743	0.944443	-270.812	1.5	41
 1	39	39	7309	1789464	226	7309	1	-217.632	2.11111	-267.812	3	42
 1	40	40	7537	1832427	228	7537	1	-216.521	1.11111	-265.812	2	44
 1	41	41	7767	1876915	230	7767	1	-215.965	0.555557	-264.812	1	45
