 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 1	1	1	1	286	1	1	1	-5225.33	3.40282e+38	-6718	3.40282e+38	1
 1	2	2	161	98882	160	161	1	-4135.67	1089.67	-5317	1401	1
 1	3	3	281	101850	120	281	1	-2764.89	1370.78	-3554	1763	3
 1	4	4	401	80544	120	401	0	-2764.89	0	-3554	0	3
 1	5	5	569	256997	168	569	1	-1417.78	1347.11	-1822	1732	3
 1	6	6	689	130417	120	689	1	-636.889	780.889	-818	1004	3
 1	7	7	809	129053	120	809	1	-522.222	114.667	-670	148	5
 1	8	8	929	136138	120	929	1	-502.222	20	-644	26	6
 1	9	9	1049	150453	120	1049	1	-482.222	20	-618	26	7
 1	10	10	1169	177950	120	1169	1	-464.556	17.6667	-595	23	8
 1	11	11	1289	206515	120	1289	1	-450	14.5555	-576	19	9
 1	12	12	1409	236840	120	1409	1	-436.222	13.7778	-558	18	10
 1	13	13	1529	261888	120	1529	1	-424	12.2222	-542	16	11
 1	14	14	1649	287089	120	1649	1	-414.111	9.88889	-529	13	12
 1	15	15	1769	324473	120	1769	1	-405.778	8.33334	-518	11	13
 1	16	16	1889	345486	120	1889	1	-399	6.77777	-509	9	14
 1	17	17	2009	374322	120	2009	1	-393	6	-501	8	15
 1	18	18	2129	396615	120	2129	1	-389.333	3.66666	-496	5	16
 1	19	19	2249	419690	120	2249	1	-385.667	3.66669	-491	5	17
 1	20	20	2369	454039	120	2369	1	-382	3.66666	-486	5	18
 1	21	21	2489	483817	120	2489	0	-382	0	-486	0	18
 1	22	22	2686	967204	197	2686	1	-363.333	18.6667	-462	24	18
 1	23	23	2806	585464	120	2806	1	-347.778	15.5556	-442	20	18
 1	24	24	2926	545323	120	2926	1	-335.333	12.4444	-426	16	18
 1	25	25	3046	555325	120	3046	1	-325.667	9.66669	-413	13	20
 1	26	26	3166	593406	120	3166	1	-317	8.66666	-401	12	23
 1	27	27	3286	630941	120	3286	1	-310.778	6.22223	-393	8	23
 1	28	28	3406	627437	120	3406	1	-304.778	6	-385	8	24
 1	29	29	3526	654631	120	3526	1	-300.917	3.86111	-379.75	5.25	25
 1	30	30	3646	693095	120	3646	1	-297.25	3.66666	-374.75	5	26
 1	31	31	3766	702538	120	3766	1	-293.389	3.86111	-369.5	5.25	27
 1	32	32	3886	746901	120	3886	1	-290.5	2.88889	-365.5	4	28
 1	33	33	4006	778148	120	4006	1	-289.944	0.555542	-364.5	1	29
 1	34	34	4126	808653	120	4126	0	-289.944	0	-364.5	0	29
 1	35	35	4343	1709270	217	4343	1	-283.361	6.58334	-355.75	8.75	30
 1	36	36	4463	896909	120	4463	1	-278.694	4.66666	-349.75	6	30
 1	37	37	4583	875441	120	4583	1	-274.833	3.86111	-344.5	5.25	31
 1	38	38	4703	882433	120	4703	1	-274.472	0.361115	-343.75	0.75	32
 1	39	39	4823	915757	120	4823	0	-274.472	0	-343.75	0	32
 1	40	40	5047	1953664	224	5047	1	-271.361	3.11111	-339.75	4	32
 1	41	41	5167	1010019	120	5167	1	-269.25	2.11111	-336.75	3	33
 1	42	42	5287	1009609	120	5287	1	-266.694	2.55554	-333.75	3	32
 1	43	43	5407	975313	120	5407	1	-265.167	1.5278	-331.5	2.25	33
 1	44	44	5527	981474	120	5527	1	-264.611	0.555542	-330.5	1	34
 1	45	45	5647	1013042	120	5647	1	-264.444	0.166656	-330	0.5	35
 1	46	46	5767	1070750	120	5767	0	-264.444	0	-330	0	35
 1	47	47	5998	2292602	231	5998	1	-262.889	1.55557	-328	2	35
 1	48	48	6118	1125539	120	6118	1	-260.389	2.5	-324.5	3.5	36
 1	49	49	6238	1090357	120	6238	1	-259.25	1.13889	-322.75	1.75	37
 1	50	50	6358	1077838	120	6358	1	-258.694	0.555542	-321.75	1	38
 1	51	51	6478	1090277	120	6478	1	-258.333	0.361115	-321	0.75	39
 1	52	52	6598	1108731	120	6598	0	-258.333	0	-321	0	39
 1	53	53	6835	2508438	237	6835	1	-257.049	1.28473	-319.062	1.9375	40
 1	54	54	6955	1282936	120	6955	1	-256.153	0.895844	-317.625	1.4375	41
