#
# nn27, the exhaustive neighborhood search variant, no simplexiing done, bzr rev 6666
#
# deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 1	1	1	1	3408	1	1	1	-5225.33	3.40282e+38	-6718	3.40282e+38	1
 1	2	2	161	99905	160	161	1	-4135.67	1089.67	-5317	1401	1
 1	3	3	323	104103	162	323	1	-2381	1754.67	-3061	2256	1
 1	4	4	486	102018	163	486	1	-570.333	1810.67	-733	2328	1
 1	5	5	650	103182	164	650	1	-471.556	98.7778	-606	127	1
 1	6	6	816	160563	166	816	1	-422	49.5555	-542	64	2
 1	7	7	984	204397	168	984	1	-400.667	21.3333	-514	28	4
 1	8	8	1154	279905	170	1154	1	-383	17.6667	-491	23	5
 1	9	9	1326	392555	172	1326	1	-366.889	16.1111	-470	21	6
 1	10	10	1500	453697	174	1500	1	-356.222	10.6667	-456	14	7
 1	11	11	1676	511878	176	1676	1	-346.333	9.88889	-443	13	8
 1	12	12	1854	585285	178	1854	1	-334.111	12.2222	-427	16	9
 1	13	13	2034	654697	180	2034	1	-323.444	10.6667	-413	14	10
 1	14	14	2216	711505	182	2216	1	-313.556	9.88892	-400	13	11
 1	15	15	2400	882855	184	2400	1	-304.444	9.11108	-388	12	12
 1	16	16	2585	817034	185	2585	1	-295.333	9.11111	-376	12	13
 1	17	17	2772	851442	187	2772	1	-289.111	6.22223	-368	8	13
 1	18	18	2960	862220	188	2960	1	-283.111	6	-360	8	14
 1	19	19	3149	888121	189	3149	1	-277.889	5.22223	-353	7	15
 1	20	20	3340	960670	191	3340	1	-272.667	5.22223	-346	7	16
 1	21	21	3533	1036993	193	3533	1	-268.778	3.88889	-339	7	23
 1	22	22	3728	830528	195	3728	1	-263.167	5.61111	-331.5	7.5	24
 1	23	23	3925	886969	197	3925	1	-256.944	6.2222	-323.5	8	24
 1	24	24	4123	899323	198	4123	1	-250.167	6.77779	-314.5	9	25
 1	25	25	4323	943958	200	4323	1	-244.167	6	-306.5	8	26
 1	26	26	4524	962985	201	4524	1	-242.056	2.11111	-303.5	3	27
 1	27	27	4727	1019197	203	4727	1	-239.944	2.11111	-300.5	3	28
 1	28	28	4932	1088698	205	4932	1	-237.833	2.11111	-297.5	3	29
 1	29	29	5139	1135491	207	5139	1	-236.403	1.43056	-295.375	2.125	30
 1	30	30	5347	1147087	208	5347	1	-235.292	1.1111	-293.375	2	32
 1	31	31	5557	1230257	210	5557	1	-232.403	2.8889	-289.375	4	33
 1	32	32	5769	1292549	212	5769	1	-230.514	1.88889	-286.375	3	35
 1	33	33	5983	1359495	214	5983	1	-226.847	3.66666	-281.375	5	36
 1	34	34	6199	1398320	216	6199	1	-224.736	2.11111	-278.375	3	37
 1	35	35	6417	1475672	218	6417	1	-223.743	0.993057	-276.812	1.5625	38
 1	36	36	6637	1527590	220	6637	1	-222.799	0.944443	-275.312	1.5	39
 1	37	37	6859	1613753	222	6859	1	-220.688	2.11111	-272.312	3	40
 1	38	38	7083	1650690	224	7083	1	-219.743	0.944443	-270.812	1.5	41
 1	39	39	7309	1733004	226	7309	1	-217.632	2.11111	-267.812	3	42
 1	40	40	7537	1814620	228	7537	1	-216.521	1.11111	-265.812	2	44
 1	41	41	7767	1876332	230	7767	1	-215.965	0.555557	-264.812	1	45
 1	42	42	7999	1973058	232	7999	1	-215.41	0.555542	-263.812	1	46
 1	43	43	8233	2044882	234	8233	1	-215.076	0.333344	-262.812	1	48
 1	44	44	8469	2124345	236	8469	1	-214.743	0.333328	-261.812	1	50
 1	45	45	8707	2201451	238	8707	1	-211.854	2.88889	-257.812	4	51
 1	46	46	8946	2218981	239	8946	1	-209.965	1.8889	-254.812	3	53
 1	47	47	9187	2288327	241	9187	1	-209.021	0.944443	-253.312	1.5	54
 1	48	48	9430	2402493	243	9430	1	-208.076	0.944443	-251.812	1.5	55
 1	49	49	9674	2377757	244	9674	1	-207.326	0.75	-250.562	1.25	56
 1	50	50	9920	2454037	246	9920	1	-206.771	0.555557	-249.562	1	57
 1	51	51	10167	2518909	247	10167	1	-206.438	0.333328	-248.562	1	59
 1	52	52	10416	2596512	249	10416	1	-206.125	0.3125	-247.875	0.6875	60
 1	53	53	10667	2639143	251	10667	1	-205.931	0.194443	-247.625	0.25	60
 1	54	54	10919	2655968	252	10919	1	-205.736	0.194443	-247.375	0.25	60
 1	55	55	11172	2696840	253	11172	1	-205.634	0.101868	-246.958	0.416672	61
 1	56	56	11426	2706482	254	11426	1	-205.586	0.0486145	-246.896	0.0625	61
 1	57	57	11681	2720374	255	11681	1	-205.537	0.0485992	-246.833	0.0625	61
 1	58	58	11937	2730761	256	11937	1	-205.525	0.0121613	-246.818	0.015625	61
 1	59	59	12194	2689447	257	12194	1	-205.513	0.012146	-246.802	0.015625	61
 1	60	60	12452	2660298	258	12452	1	-205.51	0.0030365	-246.798	0.00390625	61
 1	61	61	12709	2654574	257	12709	1	-205.507	0.0030365	-246.794	0.00390625	61
 1	62	62	12965	2651482	256	12965	0	-205.507	0	-246.794	0	61

 2	1	63	12966	15968	1	1	1	-205.531	3.40282e+38	-246.826	3.40282e+38	61
 2	2	64	16248	66949135	3282	3283	1	-199.531	6	-238.826	8	62
 2	3	65	19532	68585435	3284	6567	1	-194.099	5.4321	-231.27	7.55556	64
 2	4	66	22818	88243653	3286	9853	1	-189.099	5	-224.27	7	66
 2	5	67	26106	92743330	3288	13141	1	-182.877	6.22221	-216.27	8	66
 2	6	68	29395	91881047	3289	16430	1	-179.064	3.8125	-211.082	5.1875	67
 2	7	69	32686	92827537	3291	19721	1	-174.161	4.90279	-204.207	6.875	69
 2	8	70	35979	95739688	3293	23014	1	-170.745	3.41666	-198.957	5.25	72
 2	9	71	39274	99987462	3295	26309	1	-167.856	2.8889	-194.957	4	73
 2	10	72	42570	100249836	3296	29605	1	-160.856	7	-185.957	9	73
