#
# deme-tri-rescan
#
# does 1+2+3-simplex search plus rescans when no progress,
# taken from the bank-nn14 logfile.
#
# deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 1	1	1	1	247	1	1	1	-5225.33	3.40282e+38	-6718	3.40282e+38	1
 1	2	2	161	95338	160	161	1	-4135.67	1089.67	-5317	1401	1
 1	3	3	281	94372	120	281	1	-2764.89	1370.78	-3554	1763	3
 1	4	4	401	75516	120	401	1	-2667.11	97.7778	-3428	126	4
 1	5	5	521	99731	120	521	0	-2667.11	0	-3428	0	4
 1	6	6	691	290334	170	691	1	-1369.78	1297.33	-1760	1668	4
 1	7	7	811	148579	120	811	1	-534.111	835.667	-685	1075	6
 1	8	8	931	187041	120	931	1	-512.556	21.5555	-657	28	7
 1	9	9	1051	228490	120	1051	1	-494.111	18.4444	-633	24	8
 1	10	10	1171	265711	120	1171	1	-478.778	15.3333	-613	20	9
 1	11	11	1291	311337	120	1291	1	-472.778	6	-605	8	10
 1	12	12	1411	352617	120	1411	1	-469.889	2.88889	-601	4	11
 1	13	13	1531	412475	120	1531	1	-467	2.88889	-597	4	12
 1	14	14	1651	454526	120	1651	0	-467	0	-597	0	12
 1	15	15	1836	869809	185	1836	1	-355.222	111.778	-453	144	13
 1	16	16	1956	507489	120	1956	1	-333.667	21.5556	-425	28	14
 1	17	17	2076	575954	120	2076	1	-321.444	12.2222	-409	16	15
 1	18	18	2196	600185	120	2196	1	-312.333	9.11111	-397	12	16
 1	19	19	2316	650508	120	2316	1	-306.333	6	-389	8	17
 1	20	20	2436	706678	120	2436	1	-303.444	2.88889	-385	4	18
 1	21	21	2556	849879	120	2556	1	-302.889	0.555573	-384	1	19
 1	22	22	2676	920556	120	2676	1	-302.111	0.777771	-383	1	19
 1	23	23	2796	999969	120	2796	0	-302.111	0	-383	0	19
 1	24	24	2993	1850954	197	2993	1	-293	9.11111	-371	12	20
 1	25	25	3113	1104899	120	3113	1	-286.778	6.22223	-363	8	20
 1	26	26	3233	1114938	120	3233	1	-280.778	6	-355	8	21
 1	27	27	3353	1144405	120	3353	1	-274.778	6	-347	8	22
 1	28	28	3473	1177711	120	3473	0	-274.778	0	-347	0	22
 1	29	29	3676	2154997	203	3676	1	-271.667	3.11111	-343	4	22
 1	30	30	3796	1242057	120	3796	1	-268.778	2.88889	-339	4	23
 1	31	31	3916	1247171	120	3916	1	-266.444	2.33331	-336	3	23
 1	32	32	4036	1282277	120	4036	1	-265.667	0.777802	-335	1	23
 1	33	33	4156	1299713	120	4156	0	-265.667	0	-335	0	23
 1	34	34	4362	2345925	206	4362	1	-262.778	2.88889	-331	4	24
 1	35	35	4482	1346038	120	4482	1	-258.889	3.88889	-326	5	24
 1	36	36	4602	1724708	120	4602	0	-258.889	0	-326	0	24
 1	37	37	4811	3651719	209	4811	1	-256	2.88889	-322	4	25
 1	38	38	4931	2073005	120	4931	1	-255.056	0.944443	-320.5	1.5	26
 1	39	39	5051	2123175	120	5051	0	-255.056	0	-320.5	0	26
 1	40	40	5263	3818407	212	5263	1	-254.278	0.777786	-319.5	1	26
 1	41	41	5383	2169437	120	5383	1	-253.792	0.486099	-318.875	0.625	26
 1	42	42	5503	2195709	120	5503	0	-253.792	0	-318.875	0	26
 1	43	43	5717	3933305	214	5717	0	-253.792	0	-318.875	0	26
 1	44	44	5837	2137062	120	5837	0	-253.625	0.166672	-318.375	0.5	27
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 2	1	45	5838	17206	1	1	1	-253.625	3.40282e+38	-318.375	3.40282e+38	27
 2	2	46	8252	45489201	2414	2415	1	-242.625	11	-303.375	15	30
 2	3	47	8372	2328633	120	2535	1	-231.431	11.1944	-288.125	15.25	33
 2	4	48	8492	2540440	120	2655	1	-225.653	5.77779	-280.125	8	35
 2	5	49	8612	2412538	120	2775	1	-220.097	5.55554	-272.125	8	38
 2	6	50	8732	2525507	120	2895	1	-215.069	5.02779	-265.375	6.75	39
 2	7	51	8852	2608483	120	3015	1	-210.069	5	-258.375	7	41
 2	8	52	8972	2688026	120	3135	1	-205.403	4.66667	-252.375	6	41
 2	9	53	9092	2694344	120	3255	0	-205.403	0	-252.375	0	41
 2	10	54	11522	58983398	2430	5685	1	-198.403	7	-243.375	9	41
 2	11	55	11642	2719672	120	5805	1	-193.569	4.83333	-236.875	6.5	42
 2	12	56	11762	2767690	120	5925	1	-189.347	4.22221	-230.875	6	44
 2	13	57	11882	2892300	120	6045	1	-183.347	6	-222.875	8	45
 2	14	58	12002	3993132	120	6165	1	-179.681	3.66667	-217.875	5	46
 2	15	59	12122	4076275	120	6285	1	-176.792	2.88889	-213.875	4	47
 2	16	60	12242	4254163	120	6405	1	-173.903	2.8889	-209.875	4	48
 2	17	61	12362	4487107	120	6525	1	-171.236	2.66666	-205.875	4	50
 2	18	62	12482	4372292	120	6645	1	-168.569	2.66667	-201.875	4	52
 2	19	63	12602	3446601	120	6765	1	-165.903	2.66667	-197.875	4	54
 2	20	64	12722	3361810	120	6885	0	-165.903	0	-197.875	0	54
 2	21	65	15171	77366274	2449	9334	1	-159.903	6	-189.875	8	55
 2	22	66	15291	3698722	120	9454	1	-154.875	5.02777	-183.125	6.75	56
 2	23	67	15411	3739219	120	9574	1	-151.986	2.88889	-179.125	4	57
 2	24	68	15531	3747450	120	9694	1	-149.319	2.66667	-175.125	4	59
 2	25	69	15651	3731016	120	9814	1	-146.653	2.66667	-171.125	4	61
 2	26	70	15771	3788090	120	9934	0	-146.653	0	-171.125	0	61
 2	27	71	18229	68877689	2458	12392	1	-144.431	2.22221	-167.125	4	65
 2	28	72	18349	3343051	120	12512	1	-142.319	2.11111	-164.125	3	66
 2	29	73	18469	4674898	120	12632	1	-140.986	1.33333	-162.125	2	67
 2	30	74	18589	4616815	120	12752	1	-139.653	1.33334	-160.125	2	68
 2	31	75	18709	4964429	120	12872	0	-139.653	0	-160.125	0	68
 2	32	76	21175	101780982	2466	15338	1	-136.764	2.88889	-156.125	4	69
 2	33	77	21295	5147264	120	15458	1	-134.097	2.66666	-152.125	4	71
 2	34	78	21415	5142431	120	15578	1	-130.819	3.27779	-147.625	4.5	72
 2	35	79	21535	3827945	120	15698	1	-129.486	1.33333	-145.625	2	73
 2	36	80	21655	3772589	120	15818	1	-128.931	0.555557	-144.625	1	74
 2	37	81	21775	3778259	120	15938	1	-128.486	0.444443	-144.625	0	72
 2	38	82	21895	3711332	120	16058	0	-128.153	0.333344	-143.625	1	74
 2	39	83	24373	79027774	2478	18536	1	-125.208	2.94444	-140.125	3.5	73
 2	40	84	24493	3711840	120	18656	1	-123.097	2.11111	-137.125	3	74
 2	41	85	24613	3683704	120	18776	1	-121.764	1.33334	-135.125	2	75
 2	42	86	24733	3674946	120	18896	1	-121.208	0.55555	-134.125	1	76
 2	43	87	24853	5541611	120	19016	0	-120.875	0.333336	-133.125	1	78
 2	44	88	27338	103139037	2485	21501	0	-120.653	0.222221	-133.125	0	77
 2	45	89	27458	4968544	120	21621	0	-120.319	0.333336	-132.125	1	79
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 3	1	90	27459	35176	1	1	1	-120.319	3.40282e+38	-132.125	3.40282e+38	79
 3	2	91	31219	145309373	3760	3761	1	-119.208	1.11111	-130.125	2	81
 3	3	92	31339	4524480	120	3881	1	-117.757	1.45139	-127.688	2.4375	83
 3	4	93	31459	4482482	120	4001	0	-117.424	0.333328	-126.688	1	85
 3	5	94	35223	149990744	3764	7765	0	-117.312	0.111115	-127.688	-1	81
 3	6	95	35343	5406878	120	7885	0	-116.979	0.333336	-126.688	1	83
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 4	1	96	35344	51157	1	1	1	-116.979	3.40282e+38	-126.688	3.40282e+38	83
 4	2	97	38954	178233925	3610	3611	0	-116.646	0.333328	-125.688	1	85
 4	3	98	39074	6468102	120	3731	0	-116.431	0.215279	-125.125	0.5625	86
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 5	1	99	39075	38383	1	1	1	-116.431	3.40282e+38	-125.125	3.40282e+38	86
 5	2	100	42765	151805479	3690	3691	0	-116.097	0.333336	-124.125	1	88
 5	3	101	42885	4865899	120	3811	0	-116.097	0	-124.125	0	88
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 6	1	102	42886	50640	1	1	1	-116.097	3.40282e+38	-124.125	3.40282e+38	88
 6	2	103	46116	150780214	3230	3231	0	-116.097	0	-124.125	0	88
 6	3	104	46236	7220555	120	3351	0	-116.097	0	-124.125	0	88
 # deme_count	iteration	total_steps	total_evals	microseconds	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 7	1	105	46237	37054	1	1	1	-117.431	3.40282e+38	-124.125	3.40282e+38	94
 7	2	106	48933	109132724	2696	2697	1	-116.764	0.666672	-124.125	0	91
