#
# deme-tri.data
#
# deme statistics, for the case of 1+2+3 simplex exploration, with
# 40 new instances per simplex, and mandatory refresh every 10
# generations.  This variant does not try any further after a
# no-improvment failure.
#
# Taken from the nn13 logfiles.
#
# deme_count	iteration	total_steps	total_evals	new_instances	num_instances	has_improved	best_weighted_score	delta_weighted	best_raw	delta_raw	complexity
 1	1	1	1	1	1	1	-5225.33	3.40282e+38	-6718	3.40282e+38	1
 1	2	2	161	160	161	1	-4135.67	1089.67	-5317	1401	1
 1	3	3	281	120	281	1	-2764.89	1370.78	-3554	1763	3
 1	4	4	401	120	401	1	-2667.11	97.7778	-3428	126	4
 1	5	5	521	120	521	0	-2667.11	0	-3428	0	4
 2	1	6	522	1	1	1	-2667.11	3.40282e+38	-3428	3.40282e+38	4
 2	2	7	916	394	395	1	-1947.67	719.444	-2503	925	4
 2	3	8	1036	120	515	1	-742.778	1204.89	-953	1550	7
 2	4	9	1156	120	635	0	-742.778	0	-953	0	7
 3	1	10	1157	1	1	1	-742.778	3.40282e+38	-953	3.40282e+38	7
 3	2	11	1707	550	551	1	-616	126.778	-790	163	7
 3	3	12	1827	120	671	1	-522.333	93.6667	-669	121	9
 3	4	13	1947	120	791	1	-444	78.3333	-568	101	10
 3	5	14	2067	120	911	1	-415.444	28.5555	-531	37	11
 3	6	15	2187	120	1031	1	-393.889	21.5556	-503	28	12
 3	7	16	2307	120	1151	1	-384	9.88889	-490	13	13
 3	8	17	2427	120	1271	1	-376.889	7.11111	-480	10	16
 3	9	18	2547	120	1391	1	-370.889	6	-472	8	17
 3	10	19	3113	566	1957	1	-323.222	47.6667	-411	61	16
 3	11	20	3233	120	2077	1	-310.444	12.7778	-394	17	18
 3	12	21	3353	120	2197	1	-299.056	11.3889	-378.5	15.5	21
 3	13	22	3473	120	2317	1	-288.389	10.6667	-364.5	14	22
 3	14	23	3593	120	2437	1	-276.167	12.2222	-348.5	16	23
 3	15	24	3713	120	2557	0	-276.167	0	-348.5	0	23
 4	1	25	3714	1	1	1	-276.167	3.40282e+38	-348.5	3.40282e+38	23
 4	2	26	4818	1104	1105	1	-263.389	12.7778	-331.5	17	25
 4	3	27	4938	120	1225	1	-227.722	35.6667	-284.5	47	29
 4	4	28	5058	120	1345	1	-218.611	9.11111	-272.5	12	30
 4	5	29	5178	120	1465	0	-218.611	0	-272.5	0	30
 5	1	30	5179	1	1	1	-218.611	3.40282e+38	-272.5	3.40282e+38	30
 5	2	31	6367	1188	1189	1	-212.611	6	-264.5	8	31
 5	3	32	6487	120	1309	1	-206.833	5.77779	-256.5	8	33
 5	4	33	6607	120	1429	1	-201.278	5.55556	-248.5	8	36
 5	5	34	6727	120	1549	1	-196.833	4.44444	-242.5	6	37
 5	6	35	6847	120	1669	1	-192.611	4.22221	-236.5	6	39
 5	7	36	6967	120	1789	1	-188.75	3.86111	-231.25	5.25	40
 5	8	37	7087	120	1909	1	-185.083	3.66667	-226.25	5	41
 5	9	38	7207	120	2029	1	-181.417	3.66666	-221.25	5	42
 5	10	39	8411	1204	3233	1	-178.528	2.8889	-217.25	4	43
 5	11	40	8531	120	3353	1	-175.639	2.88889	-213.25	4	44
 5	12	41	8651	120	3473	1	-172.75	2.88889	-209.25	4	45
 5	13	42	8771	120	3593	0	-172.75	0	-209.25	0	45
 6	1	43	8772	1	1	1	-172.75	3.40282e+38	-209.25	3.40282e+38	45
 6	2	44	10744	1972	1973	1	-167.75	5	-202.25	7	47
 6	3	45	10864	120	2093	1	-162.972	4.77777	-195.25	7	50
 6	4	46	10984	120	2213	1	-159.861	3.11111	-191.25	4	50
 6	5	47	11104	120	2333	1	-156.972	2.88889	-187.25	4	51
 6	6	48	11224	120	2453	1	-154.278	2.69446	-183.5	3.75	52
 6	7	49	11344	120	2573	0	-154.278	0	-183.5	0	52
 7	1	50	11345	1	1	1	-154.278	3.40282e+38	-183.5	3.40282e+38	52
 7	2	51	13861	2516	2517	1	-148.056	6.22221	-175.5	8	52
 7	3	52	13981	120	2637	1	-134.75	13.3056	-157.25	18.25	56
 7	4	53	14101	120	2757	0	-134.75	0	-157.25	0	56
 8	1	54	14102	1	1	1	-134.75	3.40282e+38	-157.25	3.40282e+38	56
 8	2	55	16622	2520	2521	1	-132.306	2.44444	-153.25	4	59
 8	3	56	16742	120	2641	1	-130.194	2.11111	-150.25	3	60
 8	4	57	16862	120	2761	1	-128.083	2.11111	-147.25	3	61
 8	5	58	16982	120	2881	0	-128.083	0	-147.25	0	61
 9	1	59	16983	1	1	1	-128.083	3.40282e+38	-147.25	3.40282e+38	61
 9	2	60	19815	2832	2833	1	-126.75	1.33333	-145.25	2	62
 9	3	61	19935	120	2953	1	-125.611	1.13889	-143.5	1.75	63
 9	4	62	20055	120	3073	1	-124.278	1.33334	-141.5	2	64
 9	5	63	20175	120	3193	1	-123.306	0.972221	-140.25	1.25	64
 9	6	64	20295	120	3313	1	-122.194	1.11111	-138.25	2	66
 9	7	65	20415	120	3433	1	-121.417	0.777779	-137.25	1	66
 9	8	66	20535	120	3553	1	-120.861	0.55555	-136.25	1	67
 9	9	67	20655	120	3673	1	-120.417	0.44445	-136.25	0	65
 9	10	68	23503	2848	6521	1	-118.861	1.55555	-134.25	2	65
 9	11	69	23623	120	6641	1	-117.75	1.11111	-132.25	2	67
 9	12	70	23743	120	6761	1	-117.194	0.555557	-131.25	1	68
 9	13	71	23863	120	6881	0	-116.861	0.333328	-130.25	1	70
 10	1	72	23864	1	1	1	-116.861	3.40282e+38	-130.25	3.40282e+38	70
 10	2	73	26622	2758	2759	1	-114.75	2.11111	-127.25	3	71
 10	3	74	26742	120	2879	1	-114.083	0.666664	-125.25	2	75
 10	4	75	26862	120	2999	0	-113.75	0.333336	-124.25	1	77
 11	1	76	26863	1	1	1	-113.75	3.40282e+38	-124.25	3.40282e+38	77
 11	2	77	30167	3304	3305	1	-112.861	0.888885	-122.25	2	80
 11	3	78	30287	120	3425	0	-112.528	0.333336	-121.25	1	82
 12	1	79	30288	1	1	1	-112.528	3.40282e+38	-121.25	3.40282e+38	82
 12	2	80	33826	3538	3539	1	-111.75	0.777779	-120.25	1	82
 12	3	81	33946	120	3659	0	-111.417	0.333336	-119.25	1	84
 13	1	82	33947	1	1	1	-111.417	3.40282e+38	-119.25	3.40282e+38	84
 13	2	83	37487	3540	3541	0	-111.306	0.111107	-118.25	1	87
 14	1	84	37488	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 14	2	85	41184	3696	3697	0	-111.306	0	-118.25	0	87
 15	1	86	41185	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 15	2	87	44651	3466	3467	0	-111.306	0	-118.25	0	87
 16	1	88	44652	1	1	1	-111.528	3.40282e+38	-118.25	3.40282e+38	88
 16	2	89	48196	3544	3545	0	-111.306	0.222221	-118.25	0	87
 17	1	90	48197	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 17	2	91	51661	3464	3465	0	-111.306	0	-118.25	0	87
 18	1	92	51662	1	1	1	-111.528	3.40282e+38	-118.25	3.40282e+38	88
 18	2	93	55284	3622	3623	0	-111.306	0.222221	-118.25	0	87
 19	1	94	55285	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 19	2	95	58521	3236	3237	0	-111.306	0	-118.25	0	87
 20	1	96	58522	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 20	2	97	62144	3622	3623	0	-111.306	0	-118.25	0	87
 21	1	98	62145	1	1	1	-111.306	3.40282e+38	-118.25	3.40282e+38	87
 21	2	99	65537	3392	3393	0	-111.306	0	-118.25	0	87
 22	1	100	65538	1	1	1	-111.417	3.40282e+38	-119.25	3.40282e+38	84
 22	2	101	69000	3462	3463	1	-110.861	0.55555	-118.25	1	85
 22	3	102	69120	120	3583	0	-110.861	0	-118.25	0	85
 23	1	103	69121	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 23	2	104	72279	3158	3159	0	-110.861	0	-118.25	0	85
 24	1	105	72280	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 24	2	106	75744	3464	3465	0	-110.861	0	-118.25	0	85
 25	1	107	75745	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 25	2	108	79131	3386	3387	0	-110.861	0	-118.25	0	85
 26	1	109	79132	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 26	2	110	82366	3234	3235	0	-110.861	0	-118.25	0	85
 27	1	111	82367	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 27	2	112	85675	3308	3309	0	-110.861	0	-118.25	0	85
 28	1	113	85676	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 28	2	114	89140	3464	3465	0	-110.861	0.222221	-118.25	0	85
 29	1	115	89141	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 29	2	116	92453	3312	3313	0	-110.861	0.222221	-118.25	0	85
 30	1	117	92454	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 30	2	118	95994	3540	3541	0	-110.861	0	-118.25	0	85
 31	1	119	95995	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 31	2	120	99229	3234	3235	0	-110.861	0	-118.25	0	85
 32	1	121	99230	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 32	2	122	102692	3462	3463	0	-110.861	0	-118.25	0	85
 33	1	123	102693	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 33	2	124	105773	3080	3081	0	-110.861	0	-118.25	0	85
 34	1	125	105774	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 34	2	126	109314	3540	3541	0	-110.861	0	-118.25	0	85
 35	1	127	109315	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 35	2	128	112701	3386	3387	0	-110.861	0	-118.25	0	85
 36	1	129	112702	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 36	2	130	116166	3464	3465	0	-110.861	0.222221	-118.25	0	85
 37	1	131	116167	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 37	2	132	119557	3390	3391	0	-110.861	0.222221	-118.25	0	85
 38	1	133	119558	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 38	2	134	123022	3464	3465	0	-110.861	0.222221	-118.25	0	85
 39	1	135	123023	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 39	2	136	126255	3232	3233	0	-110.861	0	-118.25	0	85
 40	1	137	126256	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 40	2	138	129876	3620	3621	0	-110.861	0.222221	-118.25	0	85
 41	1	139	129877	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 41	2	140	133497	3620	3621	0	-110.861	0.222221	-118.25	0	85
 42	1	141	133498	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 42	2	142	136656	3158	3159	0	-110.861	0.222221	-118.25	0	85
 43	1	143	136657	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 43	2	144	140043	3386	3387	0	-110.861	0	-118.25	0	85
 44	1	145	140044	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 44	2	146	143508	3464	3465	0	-110.861	0.222221	-118.25	0	85
 45	1	147	143509	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 45	2	148	146973	3464	3465	0	-110.861	0.222221	-118.25	0	85
 46	1	149	146974	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 46	2	150	150282	3308	3309	0	-110.861	0	-118.25	0	85
 47	1	151	150283	1	1	1	-110.861	3.40282e+38	-118.25	3.40282e+38	85
 47	2	152	153361	3078	3079	0	-110.861	0	-118.25	0	85
 48	1	153	153362	1	1	1	-111.083	3.40282e+38	-118.25	3.40282e+38	86
 48	2	154	156674	3312	3313	0	-110.861	0.222221	-118.25	0	85
