0  4.084182285764209 2
1  4.238226078010578 1
2  4.392269870256945 0
3  4.546313662503314 0
4  4.700357454749683 0
5  4.854401246996051 1
6  5.008445039242419 0
7  5.162488831488788 1
8  5.3165326237351564 0
9  5.470576415981524 1
10  5.624620208227893 1
11  5.7786640004742615 1
12  5.932707792720629 0
13  6.086751584966998 0
14  6.240795377213367 0
15  6.394839169459734 0
16  6.548882961706103 4
17  6.702926753952472 0
18  6.8569705461988395 1
19  7.011014338445208 2
20  7.165058130691577 1
21  7.319101922937945 2
22  7.473145715184313 1
23  7.627189507430682 1
24  7.78123329967705 2
25  7.935277091923418 2
26  8.089320884169787 2
27  8.243364676416157 2
28  8.397408468662523 2
29  8.551452260908892 2
30  8.705496053155262 2
31  8.859539845401628 2
32  9.013583637647997 3
33  9.167627429894367 5
34  9.321671222140733 5
35  9.475715014387102 2
36  9.629758806633472 5
37  9.783802598879838 2
38  9.937846391126207 11
39  10.091890183372577 8
40  10.245933975618945 5
41  10.399977767865312 12
42  10.554021560111682 12
43  10.70806535235805 17
44  10.862109144604418 11
45  11.016152936850787 17
46  11.170196729097155 24
47  11.324240521343523 36
48  11.478284313589892 42
49  11.63232810583626 35
50  11.786371898082628 49
51  11.940415690328997 38
52  12.094459482575365 60
53  12.248503274821733 56
54  12.402547067068102 76
55  12.55659085931447 86
56  12.710634651560838 97
57  12.864678443807207 95
58  13.018722236053575 107
59  13.172766028299943 133
60  13.326809820546313 165
61  13.48085361279268 171
62  13.634897405039048 167
63  13.788941197285418 202
64  13.942984989531785 188
65  14.097028781778153 246
66  14.251072574024523 221
67  14.40511636627089 261
68  14.559160158517258 338
69  14.713203950763628 228
70  14.867247743009996 452
71  15.021291535256363 325
72  15.175335327502733 197
73  15.3293791197491 488
74  15.483422911995468 577
75  15.637466704241838 384
76  15.791510496488206 422
77  15.945554288734574 481
78  16.099598080980943 599
79  16.25364187322731 723
80  16.40768566547368 870
81  16.56172945772005 0
82  16.715773249966418 1025
83  16.869817042212787 1402
84  17.023860834459153 0
85  17.17790462670552 0
86  17.33194841895189 2043
87  17.48599221119826 0
88  17.640036003444628 3093
89  17.794079795690998 0
90  17.948123587937364 0
91  18.10216738018373 0
92  18.2562111724301 5790
93  18.41025496467647 0
94  18.564298756922838 0
95  18.718342549169208 0
96  18.872386341415574 0
97  19.02643013366194 0
98  19.18047392590831 0
99  19.33451771815468 15270
