1  "."   0.6881505409718626 0.9099655687195849 0.9323602170033828 0.9353718733864157 0.9358246196840972 0.9358940487454063
2  "the"   0.1700176137415644 0.13340519423172711 0.12316329003840978 0.12151631788362424 0.12126151908046633 0.12122227112945894
3  "and"   0.1684797326998176 0.12280693996158072 0.11185883293788475 0.11011630192784531 0.10984724203095238 0.10980581862462231
4  "to"   0.17771738171681584 0.11887970695867381 0.10598922014971886 0.10395639519944339 0.10364279983747483 0.1035945220981778
5  "”"   0.1186630121572042 0.09777120167823782 0.09295220440137882 0.09218877916565518 0.09207081838648176 0.09205264826154719
6  ","   0.1753951397277493 0.10877050958705989 0.09329606917404568 0.09084769372841323 0.09046978459630291 0.09041159426748073
7  "a"   0.16078135942396982 0.09938060006452647 0.08659599632382925 0.08458379693895168 0.08427325495070076 0.08422543507649505
8  "in"   0.11584522447269886 0.08862649631877983 0.08206607565205191 0.0810162341326114 0.08085393884539532 0.08082894573221898
9  "of"   0.10217439593528901 0.08432223366352488 0.07926942020406158 0.07845037293537356 0.07832353214757279 0.07830399374543302
10  "his"   0.10803551519300839 0.07514904870576729 0.06795444120842792 0.06681300540293332 0.06663668023909508 0.06660952582335673
11  "it"   0.11581571833213478 0.06769390859552306 0.05838858576628882 0.056931541434331115 0.056706822143920615 0.05667222258878286
12  "with"   0.07597459275762437 0.05811705178233067 0.05389231260075998 0.05321739163190571 0.053113098343888644 0.05309703936861018
13  "him"   0.08913927288479227 0.055216074250681056 0.0492570261856958 0.04832295715347505 0.04817873588601954 0.04815652455736535
14  "that"   0.11811533769703773 0.05914200026350339 0.04838807449082682 0.046714571666234356 0.046456728638105134 0.04641703657780611
15  "for"   0.07312396965011167 0.0507925642769443 0.04598856713845364 0.045228422223325196 0.04511108792427481 0.04509302284351249
16  "on"   0.06665241445915457 0.047999219978253356 0.0438396261449818 0.04317950214214631 0.043077589530254756 0.043061899262798874
17  "he"   0.09315792674758312 0.051174867144550724 0.042996084049067546 0.0417190472582446 0.041522222498550816 0.04149192195554409
18  "at"   0.07990139891627755 0.048021013307374225 0.04141372694025445 0.040374853992335015 0.04021461090681444 0.04018993954094355
19  "her"   0.07572437168756994 0.0441136572959071 0.03811990182226767 0.037180979188373056 0.037036134273042434 0.03701383099041576
20  "but"   0.057009597767617486 0.040681552963978185 0.036978540545728474 0.03639111367463249 0.036300450346677136 0.03628649361709385
21  "as"   0.06286873745199226 0.04098061501133599 0.03623620555329776 0.03548828297206048 0.03537292808304266 0.03535517033697452
22  "from"   0.043682322684410156 0.0335252842233253 0.03112432689576264 0.03074037282349018 0.030681034226580233 0.0306718974503523
23  "?"   0.043812989521892644 0.03103394723821467 0.02820858744972928 0.027764147550636387 0.027695642323874888 0.027685097769837814
24  "was"   0.13605990761843406 0.04633927254465154 0.030185666838770983 0.027681110698219397 0.02729526782349275 0.027235863556926115
25  "’"   0.041424116893673424 0.029202981847550644 0.02671920529973598 0.02632923107266884 0.026269046715275756 0.026259779136970186
26  "this"   0.05466102895275063 0.029298570611389713 0.024791490725008917 0.02408946428565911 0.02398124836749676 0.023964587535456564
27  "out"   0.04639849227058197 0.02806098131235429 0.024479527248027634 0.023918075851055407 0.023831481665768706 0.023818149553496586
28  "be"   0.05224302510315956 0.029028801761421648 0.02434519063986304 0.02361250891861302 0.023499559179936885 0.023482170444892515
29  "all"   0.05561893999496047 0.028791819556039773 0.02395042806016746 0.023195761502332546 0.02307942234426877 0.023061510579924126
30  "not"   0.07041191667669118 0.03171193511276071 0.024322436095393387 0.0231709197677893 0.02299344241585242 0.02296611777975291
31  "them"   0.04117202122764832 0.025986341425969863 0.02332314220121725 0.02290573786344701 0.022841311571299965 0.022831390795708447
32  "by"   0.03574705296665845 0.025490326933370826 0.02319944032758498 0.022835816821583088 0.02277967862926185 0.022771035740098682
33  "up"   0.05058958646744839 0.0273146533521071 0.022941109678333023 0.022258026193411003 0.02215269049721906 0.022136471654427933
34  "I"   0.12443619786717298 0.039251872331989124 0.023142769105580194 0.02063350476700165 0.02024657517725452 0.02018698676014503
35  "into"   0.028474415432329418 0.02153546748925271 0.01986162024073553 0.019594339941637375 0.01955304542840655 0.019546687210962272
36  "me"   0.050240019309374835 0.024172452075989496 0.01979845027865487 0.019120196474198728 0.01901565179936841 0.018999554626673413
37  "!"   0.027070418034750073 0.020467122122424 0.019010735188834428 0.018779902720655123 0.018744268771679597 0.018738782197436497
38  "my"   0.03436248388171097 0.02145340982974677 0.018903469648169236 0.018502969902999693 0.018441184180897054 0.01843167077093878
39  "you"   0.07890650584477595 0.028524086616245805 0.019681526660899985 0.018312231553607262 0.01810129534941134 0.018068819526180887
40  "had"   0.06108440702728261 0.025616597923991114 0.019041018631038926 0.018019784426544266 0.01786250262131087 0.017838291953720015
