1  28.574579831932773 "-"
2  22.772727272727273 "de"
3  14.504587155963304 "y"
4  9.73979381443299 ":"
5  9.734391860644365 "("
6  9.295471987720644 ")"
7  9.268774703557312 "General"
8  8.85344827586207 "Department"
9  6.556521739130435 "x"
10  6.510791366906475 "Act"
11  6.423728813559322 "%"
12  5.896860986547085 "River"
13  5.805439330543933 "University"
14  5.773478307216715 ","
15  5.689996664699695 "the"
16  5.214876033057851 "TV"
17  4.924137931034482 "County"
18  4.67595818815331 "College"
19  4.316 "School"
20  4.256637168141593 "Game"
21  4.122950819672131 "Coast"
22  4.0495049504950495 "G"
23  4.035211267605634 "Street"
24  4.032258064516129 "Court"
25  4.0281186545422445 "of"
26  3.924107142857143 "Australia"
27  3.725663716814159 "Cao"
28  3.7197452229299364 "awarded"
29  3.675889328063241 "German"
30  3.590909090909091 "Grand"
31  3.581967213114754 "we"
32  3.5625 "daughter"
33  3.548780487804878 "her"
34  3.532110091743119 "river"
35  3.48868778280543 "St"
36  3.4803149606299213 "election"
37  3.4785478547854787 "season"
38  3.466019417475728 "whom"
39  3.4659685863874348 "Minister"
40  3.4272727272727272 "color"
41  3.4263565891472867 "games"
42  3.419047619047619 "Award"
43  3.407927958256186 "a"
44  3.398230088495575 "Commonwealth"
45  3.372340425531915 "born"
46  3.370629370629371 "east"
47  3.3688524590163933 "Church"
48  3.367816091954023 "right"
49  3.3515151515151516 "$"
50  3.326923076923077 "elected"
51  3.314199395770393 "Island"
52  3.276470588235294 "firearms"
53  3.258426966292135 "million"
54  3.2325581395348837 "appointed"
55  3.2095808383233533 "she"
56  3.205263157894737 "Royal"
57  3.1857142857142855 "son"
58  3.184563758389262 "century"
59  3.1699346405228757 "west"
60  3.1496598639455784 "ISBN"
61  3.1434599156118144 "member"
62  3.1260504201680672 "language"
63  3.1120689655172415 "wife"
64  3.111111111111111 "model"
65  3.1073232323232323 "'"
66  3.092013422818792 "in"
67  3.0833333333333335 "age"
68  3.072463768115942 "Road"
69  3.066666666666667 "process"
70  3.0661764705882355 "social"
71  3.0542168674698793 "Georgian"
72  3.0442477876106193 "located"
73  3.0430313982380843 "and"
74  3.0371647509578543 "he"
75  3.0346534653465347 "Party"
76  3.021208576998051 "to"
77  3.0108225108225106 "United"
78  3.005813953488372 "law"
79  3.0046511627906978 "region"
80  2.9808612440191387 "album"
81  2.968503937007874 "result"
82  2.9611650485436893 "Cross"
83  2.954022988505747 "President"
84  2.952830188679245 "Institute"
85  2.9404255319148938 "end"
86  2.9393939393939394 "war"
87  2.9250996015936255 ";"
88  2.9058823529411764 "population"
89  2.9011627906976742 "Canada"
90  2.885289323553382 "as"
91  2.8773006134969323 "north"
92  2.874407582938389 "I"
93  2.871794871794872 "Division"
94  2.8688524590163933 "Greek"
95  2.855813953488372 "role"
96  2.854961832061069 "Association"
97  2.852112676056338 "Europe"
98  2.8489529694473053 "his"
99  2.8345410628019323 "they"
100  2.8264462809917354 "fire"
101  2.8114754098360657 "research"
102  2.807017543859649 "Council"
103  2.7941176470588234 "range"
104  2.791907514450867 "island"
105  2.780952380952381 "addition"
106  2.7751937984496124 "events"
107  2.7704918032786887 "village"
108  2.765625 "movement"
109  2.7578947368421054 "team"
110  2.7563025210084033 "students"
111  2.7542372881355934 "career"
112  2.751937984496124 "Government"
113  2.7433728144388043 "be"
114  2.739130434782609 "founded"
115  2.7382753403933435 "years"
116  2.736842105263158 "Center"
117  2.735294117647059 "replaced"
118  2.735294117647059 "version"
119  2.734375 "across"
120  2.726086956521739 "died"
121  2.7196261682242993 "available"
122  2.718032786885246 "game"
123  2.717821782178218 "near"
124  2.7142857142857144 "example"
125  2.7091836734693877 "death"
126  2.705357142857143 "Prime"
127  2.703846153846154 "school"
128  2.7030053034767234 "or"
129  2.7028985507246377 "station"
130  2.7016129032258065 "designed"
131  2.7007874015748032 "P"
132  2.7 "schools"
133  2.6996644295302015 "would"
134  2.693877551020408 "species"
135  2.691666666666667 "League"
136  2.691666666666667 "groups"
137  2.68859649122807 "town"
138  2.6885245901639343 "Park"
139  2.6834170854271355 "due"
140  2.6826923076923075 "song"
141  2.6778115501519757 "name"
142  2.675925925925926 "education"
143  2.6747967479674797 "released"
144  2.6744186046511627 "California"
145  2.672727272727273 "going"
146  2.669683257918552 "Army"
147  2.6695652173913045 "construction"
148  2.665158371040724 "published"
149  2.6639344262295084 "future"
150  2.662404092071611 "National"
151  2.6592592592592594 "should"
152  2.658744394618834 "are"
153  2.6582633053221287 "government"
154  2.65818759936407 "used"
155  2.6564417177914113 "number"
156  2.6517857142857144 "possible"
157  2.6516129032258067 "areas"
158  2.646551724137931 "design"
159  2.644268774703557 "served"
160  2.6396825396825396 "during"
161  2.6387434554973823 "area"
162  2.6354166666666665 "held"
163  2.6333333333333333 "America"
164  2.631415241057543 "such"
165  2.625 "program"
166  2.625 "Lake"
167  2.624113475177305 "performed"
168  2.616883116883117 "largest"
169  2.616279069767442 "U.S"
170  2.613861386138614 "Japan"
171  2.613138686131387 "series"
172  2.6054421768707483 "won"
173  2.603550295857988 "party"
174  2.6030534351145036 "level"
175  2.5993377483443707 "state"
176  2.595744680851064 "played"
177  2.5952380952380953 "England"
178  2.5904761904761906 "president"
179  2.59 "city"
180  2.5885714285714285 "day"
181  2.5865384615384617 "rights"
182  2.5794392523364484 "1990"
