1  4.909090909090909 "According"
2  4.107142857142857 "Gestalt"
3  3.323529411764706 "Cao"
4  3.085714285714286 "Berger"
5  3.073170731707317 "2015"
6  3.033557046979866 "It"
7  3.017543859649123 "U.S"
8  2.9615384615384617 "United"
9  2.9468085106382977 "However"
10  2.7948717948717947 "y"
11  2.672727272727273 "ISBN"
12  2.6136363636363638 "VC"
13  2.6076923076923078 "York"
14  2.58974358974359 "Grove"
15  2.586078566505858 ","
16  2.575 "Cross"
17  2.5416666666666665 "Coast"
18  2.54 "P"
19  2.5276913099870297 "the"
20  2.5272727272727273 "2014"
21  2.4468085106382977 "x"
22  2.424637141793822 ")"
23  2.4012738853503186 "well"
24  2.396103896103896 "States"
25  2.3846153846153846 "There"
26  2.3529411764705883 "2013"
27  2.287202380952381 "He"
28  2.18 "Second"
29  2.169491525423729 "List"
30  2.138996138996139 "part"
31  2.1320754716981134 "Commonwealth"
32  2.125 "Kingdom"
33  2.1239092495636998 "In"
34  2.116279069767442 "Guy"
35  2.0893997445721584 "as"
36  2.0865800865800868 "of"
37  2.0833333333333335 "Victoria"
38  2.0754716981132075 "Grand"
39  2.0224719101123596 "Great"
40  2.0136986301369864 "1999"
41  2.0121951219512195 "First"
42  1.9931972789115646 "As"
43  1.9930939226519337 "also"
44  1.9864864864864864 "2012"
45  1.9533333333333334 "same"
46  1.9411764705882353 "New"
47  1.9386792452830188 "War"
48  1.935 "World"
49  1.9300803332341565 "("
50  1.9054054054054055 "South"
51  1.9002815231886205 "to"
52  1.8888888888888888 "firearms"
53  1.874015748031496 "-"
54  1.8666666666666667 "de"
55  1.8602150537634408 "island"
56  1.8333333333333333 "At"
57  1.8300395256916997 "known"
58  1.828729281767956 "Island"
59  1.8241758241758241 "Georgian"
60  1.8168498168498168 "one"
61  1.8103448275862069 "addition"
62  1.8041002277904328 "'"
63  1.7954545454545454 "member"
64  1.7876923076923077 "."
65  1.7869992804029744 "in"
66  1.7699115044247788 "]"
67  1.7674418604651163 "and"
68  1.75 "%"
69  1.747093023255814 "not"
70  1.7444444444444445 "awarded"
71  1.744360902255639 "II"
72  1.7433628318584071 "2011"
73  1.7413793103448276 "G"
74  1.7358490566037736 "order"
75  1.735472679965308 "which"
76  1.7303370786516854 "example"
77  1.7282420034713613 "was"
78  1.723901098901099 ";"
79  1.7210884353741496 "General"
80  1.7168141592920354 "old"
81  1.7153284671532847 "end"
82  1.7134763253743424 "on"
83  1.7123287671232876 "next"
84  1.71136203246295 ":"
