1  12.403057074187833 "Cao"
2  12.103352747727051 "Award"
3  12.097555057469089 "x"
4  11.943416307489969 "y"
5  11.841701805672223 "Prime"
6  11.714636790994698 "we"
7  11.39150194745686 "per"
8  11.347503733009068 "Division"
9  11.325910099018227 "League"
10  11.323360751488885 "Game"
11  11.30522598983696 "does"
12  11.284868391101465 "$"
13  11.199886445376961 "Department"
14  11.192641089428712 "whom"
15  11.167786827175576 "elected"
16  11.131229480990783 "Minister"
17  11.12497446792485 "County"
18  11.102967940864275 "Red"
19  11.075656110974736 "Cross"
20  11.047784567140859 "Royal"
21  11.017831024029176 "million"
22  11.015631453853308 "available"
23  11.013629094125916 "Coast"
24  10.978740664808122 "TV"
25  10.973029345529355 "human"
26  10.946646134009539 "days"
27  10.939013675882125 "every"
28  10.925809506045985 "St"
29  10.909558229146468 "Center"
30  10.877239856223719 "Act"
31  10.83712185175899 "television"
32  10.83563403560437 "wife"
33  10.800880318332265 "months"
34  10.798742152626634 "fire"
35  10.782245900823007 "children"
36  10.769663636456293 "career"
37  10.76110473771307 "awarded"
38  10.739305250007538 "rights"
39  10.730981515596472 "river"
40  10.726460027424336 "social"
41  10.715231422118856 "Institute"
42  10.686853282587517 "must"
43  10.685530203084674 "election"
44  10.661266911224095 "less"
45  10.64709019440304 "times"
46  10.623871015419445 "Kingdom"
47  10.621133616841751 "across"
48  10.614869495825367 "century"
49  10.602075708855798 "possible"
50  10.575865842053997 "example"
51  10.571975952382095 "Grand"
52  10.56083989217656 "appointed"
53  10.558652444550276 "down"
54  10.551070852326081 "education"
55  10.525106906264114 "School"
56  10.51563710018622 "process"
57  10.508658914191866 "won"
58  10.505031003942456 "Party"
59  10.499616363992345 "Lake"
60  10.476275155667235 "games"
61  10.454640642355498 "Company"
62  10.448240730986218 "High"
63  10.432191707807245 "Association"
64  10.43062483789584 "species"
65  10.426355751201296 "take"
66  10.425750832919512 "version"
67  10.397485683488904 "Court"
68  10.39468920559429 "Commonwealth"
69  10.385534129752884 "Council"
70  10.377335469813866 "groups"
71  10.36673278642801 "help"
72  10.357787395908403 "addition"
73  10.350523192478706 "%"
74  10.337500634533647 "daughter"
75  10.334672241670264 "least"
76  10.330635745739656 "located"
77  10.327249226978896 "do"
78  10.29509374859639 "going"
79  10.292852433666424 "range"
80  10.287700547568612 "York"
81  10.28287020377074 "did"
82  10.2772697703895 "should"
83  10.276178322401119 "taken"
84  10.27428546531498 "color"
85  10.271114931277314 "married"
86  10.2663583921936 "United"
87  10.261559813205187 "father"
88  10.26080842185115 "worked"
89  10.258563215774284 "son"
90  10.256463138046158 "States"
91  10.252918177343442 "make"
92  10.191549649242281 "level"
93  10.183395768646674 "few"
94  10.16657292650414 "Lord"
95  10.163611518210868 "moved"
96  10.158814987064957 "Museum"
97  10.147088344119492 "Union"
98  10.144691063929159 "largest"
99  10.137834264475797 "above"
100  10.135750521999412 "half"
101  10.134919408816186 "born"
102  10.126821255802952 "different"
103  10.106182200646465 "important"
104  10.101132104065998 "song"
105  10.098937794810745 "program"
106  10.093257587380947 "forces"
107  10.085728061543026 "Western"
108  10.070013807299418 "though"
109  10.065318725459365 "Society"
110  10.064421910779606 "replaced"
111  10.063783639523972 "president"
112  10.055449578670139 "de"
113  10.041216092575802 "Canadian"
114  10.039243108080896 "older"
115  10.036183329374994 "players"
116  10.027082065499036 "however"
117  10.026093481879318 "performed"
118  10.021164727171987 "James"
119  10.013876979546167 "player"
120  10.01284649780198 "central"
121  10.011447471833502 "went"
122  10.010566326866314 "station"
123  10.004687022778247 "remained"
124  9.99988806446758 "Victoria"
125  9.991189285319454 "River"
126  9.980692664501547 "class"
127  9.962376435845096 "saw"
128  9.958846197696978 "research"
129  9.956151879390617 "America"
130  9.953593604744206 "Road"
131  9.942004907934717 "International"
132  9.939094758052773 "album"
133  9.933300224442196 "language"
134  9.93189572262906 "control"
135  9.916489315992994 "natural"
136  9.914224052684414 "among"
137  9.913566812244655 "high"
138  9.911926931243901 "along"
139  9.899944731516152 "west"
140  9.897765627398421 "received"
141  9.89751318876675 "announced"
142  9.893627283834391 "open"
143  9.882228965349466 "European"
144  9.875617907187406 "due"
145  9.874412273199567 "line"
146  9.872739696985187 "popular"
147  9.869472482964987 "change"
148  9.864838724652714 "best"
149  9.857153398402936 "east"
150  9.841780231088308 "north"
151  9.840500266988444 "events"
152  9.840164939612368 "designed"
153  9.831589471587519 "season"
154  9.82220186077432 "War"
155  9.817571210020775 "Greek"
156  9.81422436160245 "water"
157  9.810231043826727 "Street"
158  9.807947337571731 "February"
159  9.80467130359129 "see"
160  9.798308280161649 "based"
161  9.787996992625057 "live"
162  9.783623219852997 "Japan"
163  9.776576826364103 "throughout"
164  9.772019230440561 "age"
165  9.768550275232016 "could"
166  9.76803699075759 "men"
167  9.767789783542874 "areas"
168  9.767297958165381 "joined"
169  9.763320035494143 "model"
170  9.752067300355435 "List"
171  9.736181254386173 "students"
172  9.726857415966824 "next"
173  9.724433963986105 "December"
174  9.699336990499372 "opened"
175  9.696274914599968 "usually"
176  9.691806479079162 "title"
177  9.69140188440316 "military"
178  9.68620401975505 "King"
179  9.682450046798646 "continued"
180  9.679250644376985 "President"
181  9.676874819111145 "seen"
