uri	rel	start	end	context	weight	sources	id	dataset	text
/a/[/r/IsA/,/c/en/america_beautiful/,/c/en/national_anthem/]	/r/IsA	/c/en/america_beautiful	/c/en/national_anthem	/ctx/all	0.5	/s/dbpedia/3.7	/e/914e6775fd79d660bacf22ec699568e6694da3e8	/d/dbpedia/en	None
/a/[/r/PartOf/,/c/en/ankara/,/c/en/central_anatolia_region/]	/r/PartOf	/c/en/ankara	/c/en/central_anatolia_region	/ctx/all	0.5	/s/dbpedia/3.7	/e/a2c3ddf6b6237156dbeac84eea2801d35a9562d4	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/unite_state/]	/r/AtLocation	/c/en/apple_inc	/c/en/unite_state	/ctx/all	0.5	/s/dbpedia/3.7	/e/ec1914bfb0606c36376fbbcd316e5666022e2469	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/apple_campus/]	/r/AtLocation	/c/en/apple_inc	/c/en/apple_campus	/ctx/all	0.5	/s/dbpedia/3.7	/e/3fecbbf65e56b34968c37fe25af28155fa0404f0	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/infinite_loop/n/street/]	/r/AtLocation	/c/en/apple_inc	/c/en/infinite_loop/n/street	/ctx/all	0.5	/s/dbpedia/3.7	/e/359d09e4399eda3937477149f95db81947879906	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/cupertino_california/]	/r/AtLocation	/c/en/apple_inc	/c/en/cupertino_california	/ctx/all	0.5	/s/dbpedia/3.7	/e/06d5c91041588df2d223a9f9cbe27aa4b7078027	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/apple_inc/,/c/en/california/]	/r/AtLocation	/c/en/apple_inc	/c/en/california	/ctx/all	0.5	/s/dbpedia/3.7	/e/c9c8312c3ebd177bc68c6e9c472cec50a676d852	/d/dbpedia/en	None
/a/[/r/IsA/,/c/en/apple_inc/,/c/en/public_company/]	/r/IsA	/c/en/apple_inc	/c/en/public_company	/ctx/all	0.5	/s/dbpedia/3.7	/e/a5136f1c9dd369b3e2a214ffb47e6696b8ec8f85	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/neckarsulm/]	/r/AtLocation	/c/en/audi	/c/en/neckarsulm	/ctx/all	0.5	/s/dbpedia/3.7	/e/8d5c7823ef5e70bd316962bccc961462338f3068	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/győr/]	/r/AtLocation	/c/en/audi	/c/en/győr	/ctx/all	0.5	/s/dbpedia/3.7	/e/e89921d618591774e5d5728df19ce2ede7622df7	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/brussels/]	/r/AtLocation	/c/en/audi	/c/en/brussels	/ctx/all	0.5	/s/dbpedia/3.7	/e/40120af6755f9dedaad9590c769e0d185c50d1ce	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/changchun/]	/r/AtLocation	/c/en/audi	/c/en/changchun	/ctx/all	0.5	/s/dbpedia/3.7	/e/5d1dd4aad178b01f065ff52f07e9396949c2c461	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/aurangabad_maharashtra/]	/r/AtLocation	/c/en/audi	/c/en/aurangabad_maharashtra	/ctx/all	0.5	/s/dbpedia/3.7	/e/4572f10989d6d3877fe0e4044e9e46176c5c1238	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/curitiba/]	/r/AtLocation	/c/en/audi	/c/en/curitiba	/ctx/all	0.5	/s/dbpedia/3.7	/e/0209765bf7185615ef242513f61ca0f61efe2a04	/d/dbpedia/en	None
/a/[/r/AtLocation/,/c/en/audi/,/c/en/ingolstadt/]	/r/AtLocation	/c/en/audi	/c/en/ingolstadt	/ctx/all	0.5	/s/dbpedia/3.7	/e/5158d1cfce728efb3e42840d166ec06153a3d77d	/d/dbpedia/en	None
